iter	Logloss
0	0.6858932737
1	0.6775985349
2	0.6713510522
3	0.6621488716
4	0.6555074665
5	0.6488287157
6	0.6433683363
7	0.6372976961
8	0.6307714934
9	0.6246126648
10	0.618607088
11	0.6122092657
12	0.6061446696
13	0.6009366167
14	0.5958996629
15	0.5910116107
16	0.5850237951
17	0.5792508671
18	0.5741860799
19	0.5697001649
20	0.5629731794
21	0.5572771378
22	0.551712179
23	0.5463613032
24	0.5411061797
25	0.5355741899
26	0.5302215708
27	0.5256716165
28	0.5205856786
29	0.5159029713
30	0.5112750159
31	0.5066742769
32	0.5011943364
33	0.4958797134
34	0.4922111693
35	0.4886793831
36	0.4842593134
37	0.4793914696
38	0.4756532859
39	0.4719745341
40	0.4681617827
41	0.4651157453
42	0.4608517914
43	0.456518849
44	0.4527099997
45	0.4487004108
46	0.4450398516
47	0.4408087951
48	0.4366006946
49	0.4327369369
50	0.4298632161
51	0.4271291544
52	0.4235935887
53	0.4199519127
54	0.4172267752
55	0.4137522989
56	0.4101629956
57	0.4068404321
58	0.4038993829
59	0.4010034734
60	0.3979519545
61	0.3947318454
62	0.3922742071
63	0.3895136017
64	0.3866406892
65	0.3834323499
66	0.3802191064
67	0.3771295579
68	0.3743683105
69	0.3716736955
70	0.3691601798
71	0.3662961114
72	0.363730017
73	0.3607426055
74	0.3579400407
75	0.3550855259
76	0.3525781228
77	0.3499273577
78	0.3474786927
79	0.3448533776
80	0.342489208
81	0.3398827285
82	0.3366883531
83	0.3343819631
84	0.3318289083
85	0.3298327212
86	0.328243684
87	0.3262633579
88	0.3240104155
89	0.3222546719
90	0.3203158121
91	0.3184805772
92	0.3161151919
93	0.3141456724
94	0.3123992944
95	0.3106309259
96	0.3084091379
97	0.306637803
98	0.3047301977
99	0.3026505391
100	0.3012202065
101	0.2995022545
102	0.2977029831
103	0.2955786428
104	0.2937514809
105	0.2921939352
106	0.2905471426
107	0.2891892988
108	0.2874244175
109	0.285494408
110	0.2837356592
111	0.2820866628
112	0.2804432303
113	0.2791803841
114	0.2772087047
115	0.2756992398
116	0.2742468144
117	0.2730575601
118	0.2716614075
119	0.2699875637
120	0.2683685649
121	0.2669017079
122	0.2657724616
123	0.2640877815
124	0.2627406432
125	0.2603132181
126	0.258757362
127	0.2575293639
128	0.2563664428
129	0.2559899325
130	0.2543790918
131	0.2529332925
132	0.2514569466
133	0.2501848081
134	0.2490473452
135	0.247210522
136	0.2456432869
137	0.2443254748
138	0.2431251254
139	0.242039095
140	0.2403915301
141	0.2390699636
142	0.2378979349
143	0.2366859524
144	0.2352726886
145	0.2338972538
146	0.2327304905
147	0.2316582659
148	0.230170821
149	0.229255427
150	0.2283092448
151	0.2273512734
152	0.2262270313
153	0.2250003531
154	0.2239163418
155	0.2227559031
156	0.221580834
157	0.220675808
158	0.2201073855
159	0.2189575468
160	0.2180993547
161	0.2172691153
162	0.2163711417
163	0.2155002042
164	0.2144817653
165	0.2135471546
166	0.2125315801
167	0.211517792
168	0.2104300748
169	0.2094539164
170	0.2086953277
171	0.2078344236
172	0.2070337741
173	0.2058282137
174	0.205027875
175	0.2041503782
176	0.2035875389
177	0.2028120469
178	0.2018391305
179	0.201054911
180	0.2000996068
181	0.1994027438
182	0.1987176955
183	0.197709823
184	0.1971563599
185	0.196537516
186	0.1956395771
187	0.194739459
188	0.1940599506
189	0.1933323021
190	0.1927310201
191	0.1922096513
192	0.1915861054
193	0.1905967133
194	0.1899145296
195	0.1890873936
196	0.1885089262
197	0.1876187062
198	0.1869785725
199	0.1861794216
200	0.1855079304
201	0.1848054608
202	0.184081887
203	0.1832506607
204	0.1825898987
205	0.1817474696
206	0.1809292861
207	0.1802369136
208	0.179664137
209	0.1790234486
210	0.1783459718
211	0.1777008449
212	0.1771657431
213	0.1768141963
214	0.1762327383
215	0.1755716187
216	0.175069667
217	0.1744527171
218	0.173954482
219	0.173553937
220	0.1726267188
221	0.1719267906
222	0.1714047182
223	0.1708423962
224	0.1700951771
225	0.1696615228
226	0.1691455321
227	0.1684298842
228	0.1678425109
229	0.1673578552
230	0.1668095304
231	0.1659684356
232	0.1655168151
233	0.1648825485
234	0.1642956896
235	0.1638022464
236	0.1633140547
237	0.1628530346
238	0.1623296996
239	0.1616232414
240	0.1610384411
241	0.1605091564
242	0.1599300777
243	0.1594581715
244	0.1587835669
245	0.158330473
246	0.1579935128
247	0.1576431932
248	0.1573218797
249	0.1567771235
250	0.156381915
251	0.1559511862
252	0.1555201631
253	0.1551604584
254	0.1545806116
255	0.1539207909
256	0.1533698933
257	0.1528741768
258	0.1522442358
259	0.1518549716
260	0.1513834368
261	0.150874093
262	0.1503808346
263	0.149747177
264	0.1490467141
265	0.1486683411
266	0.1482919659
267	0.1478361691
268	0.1474766512
269	0.1470641232
270	0.1467130009
271	0.1462412565
272	0.1456958426
273	0.1452106556
274	0.1445768799
275	0.1442820371
276	0.1438266052
277	0.1434903466
278	0.1431149367
279	0.1426996193
280	0.1421521974
281	0.1415683793
282	0.1410222699
283	0.1407739236
284	0.1403857101
285	0.1399496986
286	0.139612996
287	0.1391349083
288	0.1386437491
289	0.1383410705
290	0.1378956357
291	0.1376480912
292	0.1373279091
293	0.136954174
294	0.1366299703
295	0.1362340061
296	0.1358259395
297	0.1353666929
298	0.1350815505
299	0.1347447568
300	0.1343207755
301	0.1338864774
302	0.1335197063
303	0.1329997084
304	0.1325752245
305	0.132117813
306	0.1316700161
307	0.1312142806
308	0.1309851163
309	0.1306346882
310	0.1302171429
311	0.1299580299
312	0.1296588869
313	0.1293130312
314	0.128836152
315	0.1284638297
316	0.1281232737
317	0.1277674409
318	0.1273366261
319	0.126913611
320	0.126726847
321	0.1263116411
322	0.1259269097
323	0.1255469607
324	0.1252793991
325	0.1249019812
326	0.1245608453
327	0.1241850615
328	0.1237762559
329	0.1236111667
330	0.1233377205
331	0.1230284011
332	0.1227453169
333	0.1224631629
334	0.1220573546
335	0.1217623795
336	0.1215817173
337	0.1213467324
338	0.1210163129
339	0.1207572976
340	0.1204385615
341	0.1201871852
342	0.1198662101
343	0.1194984515
344	0.1192459589
345	0.1189655528
346	0.1186465126
347	0.1183995729
348	0.1181713506
349	0.1179922147
350	0.117592598
351	0.1173093324
352	0.1171141374
353	0.1168615529
354	0.1165613895
355	0.1163002182
356	0.1161655162
357	0.1158453006
358	0.1156700034
359	0.1153212235
360	0.1150044745
361	0.1147821418
362	0.1146369776
363	0.1142468572
364	0.1140914394
365	0.1138486508
366	0.1136107861
367	0.1133645919
368	0.1130313127
369	0.1126800517
370	0.1123585462
371	0.1120489805
372	0.1118196444
373	0.1115412111
374	0.1112916946
375	0.1109885271
376	0.1106530281
377	0.1104427887
378	0.1100102846
379	0.1097326772
380	0.1094282695
381	0.109200079
382	0.1089924645
383	0.1088387836
384	0.1086118022
385	0.1083309753
386	0.10810379
387	0.1078848614
388	0.1076233682
389	0.1073543706
390	0.1071276146
391	0.1067767927
392	0.1066010914
393	0.1063151681
394	0.1059943382
395	0.1057067154
396	0.1055658449
397	0.1053662101
398	0.1048771552
399	0.1047230484
400	0.1044890661
401	0.1043169969
402	0.1041176016
403	0.1037922925
404	0.1035781645
405	0.1032507766
406	0.1030377779
407	0.1027833994
408	0.1025433444
409	0.1022614305
410	0.1019132364
411	0.101646365
412	0.1014241043
413	0.1011605728
414	0.1009135713
415	0.1007111424
416	0.1004960779
417	0.1002164972
418	0.1000113589
419	0.0997502655
420	0.09944702037
421	0.09925213637
422	0.09905686191
423	0.09867388877
424	0.09843787193
425	0.09829720779
426	0.09807180432
427	0.0978803758
428	0.09772558972
429	0.09745190259
430	0.09732748095
431	0.09705222921
432	0.09674348644
433	0.09663762124
434	0.09629958805
435	0.09600550529
436	0.09579680233
437	0.09555018269
438	0.09537756599
439	0.09520479597
440	0.09498287683
441	0.09472563954
442	0.09453369827
443	0.09430579736
444	0.0940754092
445	0.09381701258
446	0.09365957918
447	0.09343654574
448	0.09321584999
449	0.09302223887
450	0.09277890709
451	0.09268567954
452	0.09253933383
453	0.09234812461
454	0.09216683732
455	0.09205152245
456	0.09175134302
457	0.09145956897
458	0.09123396742
459	0.09099460853
460	0.09079527099
461	0.09058726552
462	0.0905334537
463	0.09037413743
464	0.09009187423
465	0.08981693668
