iter	Passed	Remaining
0	4	4612
1	6	3012
2	9	3241
3	12	3175
4	16	3268
5	19	3271
6	22	3250
7	28	3506
8	30	3357
9	33	3320
10	36	3303
11	41	3387
12	45	3429
13	48	3411
14	51	3383
15	55	3404
16	58	3382
17	62	3389
18	65	3389
19	68	3375
20	72	3367
21	75	3361
22	79	3361
23	82	3356
24	86	3357
25	89	3342
26	93	3377
27	97	3382
28	100	3373
29	104	3382
30	108	3378
31	111	3370
32	114	3367
33	119	3384
34	122	3378
35	126	3392
36	130	3402
37	134	3396
38	137	3390
39	141	3388
40	145	3392
41	157	3585
42	161	3594
43	173	3779
44	177	3772
45	185	3845
46	189	3833
47	192	3820
48	196	3822
49	199	3793
50	202	3765
51	205	3747
52	217	3894
53	221	3884
54	225	3875
55	228	3857
56	232	3846
57	236	3836
58	239	3823
59	243	3812
60	247	3805
61	250	3789
62	253	3773
63	257	3763
64	261	3767
65	264	3743
66	266	3710
67	268	3679
68	270	3654
69	274	3647
70	277	3624
71	279	3604
72	282	3581
73	284	3565
74	287	3550
75	290	3537
76	294	3525
77	296	3509
78	299	3489
79	301	3472
80	304	3455
81	307	3438
82	309	3423
83	312	3402
84	314	3385
85	317	3375
86	320	3362
87	324	3360
88	327	3348
89	328	3321
90	331	3313
91	334	3296
92	336	3283
93	338	3264
94	340	3247
95	343	3232
96	345	3217
97	350	3224
98	352	3212
99	356	3205
100	359	3197
101	362	3190
102	364	3176
103	366	3161
104	369	3151
105	372	3140
106	374	3126
107	377	3117
108	379	3102
109	381	3088
110	383	3075
111	386	3063
112	388	3051
113	391	3045
114	394	3034
115	397	3028
116	400	3021
117	403	3013
118	406	3011
119	410	3010
120	412	2997
121	414	2985
122	416	2972
123	419	2961
124	422	2959
125	426	2956
126	429	2954
127	433	2951
128	438	2963
129	440	2950
130	444	2949
131	449	2952
132	452	2951
133	457	2954
134	462	2962
135	466	2962
136	470	2965
137	476	2976
138	480	2973
139	483	2970
140	487	2968
141	490	2966
142	494	2965
143	500	2974
144	504	2973
145	508	2971
146	512	2972
147	516	2974
148	520	2973
149	524	2970
150	529	2976
151	534	2980
152	538	2980
153	542	2979
154	546	2977
155	550	2975
156	553	2974
157	557	2971
158	562	2975
159	566	2975
160	571	2980
161	577	2988
162	582	2993
163	589	3005
164	593	3002
165	596	2999
166	600	2995
167	606	3005
168	610	3002
169	615	3005
170	620	3007
171	625	3009
172	630	3015
173	635	3017
174	640	3020
175	644	3018
176	648	3017
177	655	3025
178	659	3025
179	662	3019
180	668	3025
181	680	3057
182	685	3058
183	689	3058
184	694	3058
185	698	3056
186	702	3053
187	707	3057
188	714	3064
189	719	3066
190	723	3065
191	730	3075
192	738	3085
193	741	3082
194	745	3075
195	747	3066
196	749	3055
197	752	3046
198	754	3037
199	757	3028
200	759	3018
201	761	3009
202	764	2999
203	766	2991
204	769	2984
205	771	2975
206	774	2966
207	776	2957
208	779	2949
209	783	2946
210	786	2941
211	789	2935
212	791	2925
213	794	2918
214	797	2910
215	799	2902
216	802	2895
217	805	2888
218	809	2885
219	812	2879
220	816	2877
221	821	2878
222	825	2877
223	829	2872
224	832	2866
225	834	2858
226	837	2850
227	839	2842
228	842	2836
229	845	2830
230	848	2825
231	851	2818
232	854	2811
233	856	2803
234	859	2798
235	862	2791
236	864	2783
237	867	2776
238	869	2769
239	872	2762
240	874	2754
241	877	2747
242	879	2739
243	881	2732
244	884	2726
245	887	2720
246	890	2713
247	892	2706
248	895	2701
249	898	2695
250	901	2691
251	904	2684
252	907	2679
253	910	2673
254	912	2667
255	915	2660
256	917	2653
257	920	2648
258	922	2640
259	925	2633
260	927	2626
261	930	2619
262	932	2613
263	935	2607
264	937	2600
265	940	2594
266	942	2587
267	946	2584
268	948	2577
269	951	2571
270	954	2566
271	958	2564
272	960	2558
273	963	2552
274	965	2546
275	968	2539
276	971	2536
277	974	2531
278	977	2526
279	980	2520
280	983	2515
281	986	2510
282	988	2505
283	991	2500
284	994	2494
285	997	2489
286	999	2482
287	1001	2476
288	1004	2471
289	1006	2465
290	1010	2461
291	1012	2454
292	1014	2449
293	1017	2443
294	1020	2439
295	1023	2433
296	1025	2427
297	1027	2421
298	1030	2415
299	1032	2409
300	1036	2407
301	1038	2400
302	1041	2395
303	1043	2388
304	1046	2383
305	1050	2381
306	1054	2379
307	1056	2374
308	1060	2371
309	1063	2366
310	1067	2364
311	1071	2361
312	1074	2358
313	1077	2354
314	1080	2349
315	1082	2343
316	1085	2339
317	1088	2334
318	1090	2328
319	1093	2323
320	1095	2317
321	1098	2312
322	1100	2307
323	1103	2302
324	1106	2297
325	1108	2292
326	1112	2289
327	1115	2284
328	1117	2279
329	1120	2274
330	1123	2270
331	1128	2271
332	1132	2268
333	1135	2265
334	1138	2259
335	1141	2256
336	1145	2253
337	1149	2250
338	1151	2245
339	1154	2241
340	1157	2236
341	1160	2232
342	1163	2228
343	1166	2223
344	1169	2219
345	1171	2214
346	1174	2210
347	1177	2205
348	1179	2199
349	1181	2194
350	1184	2189
351	1187	2186
352	1190	2182
353	1194	2179
354	1196	2174
355	1200	2171
356	1202	2166
357	1205	2161
358	1207	2155
359	1209	2150
360	1212	2146
361	1215	2141
362	1217	2136
363	1220	2131
364	1222	2126
365	1224	2121
366	1227	2116
367	1229	2112
368	1232	2107
369	1235	2103
370	1238	2100
371	1242	2096
372	1244	2092
373	1247	2088
374	1251	2085
375	1253	2080
376	1256	2076
377	1259	2072
378	1261	2067
379	1264	2063
380	1266	2058
381	1269	2053
382	1271	2048
383	1273	2042
384	1276	2039
385	1279	2035
386	1282	2030
387	1284	2026
388	1287	2022
389	1290	2017
390	1292	2013
391	1295	2009
392	1298	2005
393	1301	2002
394	1305	1999
395	1307	1994
396	1310	1990
397	1313	1987
398	1316	1982
399	1318	1977
400	1321	1973
401	1323	1969
402	1326	1965
403	1329	1961
404	1332	1957
405	1335	1954
406	1339	1950
407	1341	1946
408	1343	1942
409	1346	1937
410	1349	1933
411	1352	1930
412	1354	1925
413	1357	1920
414	1359	1916
415	1362	1912
416	1364	1908
417	1367	1903
418	1369	1899
419	1372	1894
420	1374	1890
421	1377	1887
422	1380	1882
423	1382	1878
424	1384	1873
425	1387	1869
426	1390	1866
427	1393	1862
428	1395	1857
429	1398	1853
430	1401	1849
431	1404	1846
432	1407	1842
433	1410	1839
434	1414	1837
435	1418	1834
436	1421	1831
437	1424	1827
438	1427	1824
439	1429	1819
440	1432	1815
441	1434	1811
442	1437	1807
443	1440	1803
444	1442	1799
445	1444	1794
446	1447	1790
447	1449	1786
448	1452	1782
449	1456	1779
450	1459	1776
451	1462	1772
452	1465	1769
453	1467	1765
454	1470	1761
455	1472	1757
456	1475	1753
457	1478	1749
458	1480	1744
459	1483	1741
460	1486	1737
461	1488	1733
462	1492	1731
463	1495	1727
464	1498	1724
465	1501	1720
466	1505	1718
467	1507	1714
468	1510	1710
469	1513	1706
470	1516	1702
471	1518	1698
472	1521	1695
473	1524	1691
474	1526	1687
475	1529	1684
476	1532	1680
477	1534	1676
478	1537	1672
479	1539	1667
480	1542	1664
481	1546	1661
482	1548	1657
483	1550	1653
484	1552	1648
485	1555	1644
486	1557	1640
487	1560	1637
488	1563	1633
489	1565	1629
490	1568	1626
491	1571	1622
492	1574	1618
493	1576	1615
494	1579	1611
495	1583	1608
496	1586	1605
497	1589	1602
498	1592	1598
499	1594	1594
500	1596	1590
501	1599	1586
502	1601	1582
503	1603	1578
504	1607	1575
505	1611	1573
506	1613	1568
507	1615	1564
508	1619	1561
509	1622	1558
510	1624	1554
511	1627	1551
512	1630	1547
513	1632	1543
514	1635	1540
515	1641	1539
516	1646	1538
517	1650	1535
518	1653	1532
519	1656	1529
520	1659	1525
521	1661	1521
522	1664	1518
523	1667	1514
524	1670	1511
525	1673	1507
526	1676	1504
527	1679	1501
528	1682	1498
529	1684	1494
530	1687	1490
531	1689	1486
532	1692	1482
533	1695	1479
534	1698	1476
535	1700	1472
536	1702	1468
537	1705	1464
538	1707	1460
539	1710	1457
540	1712	1453
541	1715	1449
542	1717	1445
543	1721	1442
544	1723	1438
545	1725	1435
546	1728	1431
547	1731	1427
548	1733	1424
549	1736	1420
550	1738	1416
551	1741	1413
552	1744	1409
553	1746	1406
554	1749	1402
555	1752	1399
556	1755	1396
557	1759	1393
558	1763	1390
559	1766	1387
560	1770	1385
561	1773	1382
562	1776	1378
563	1778	1375
564	1781	1371
565	1785	1368
566	1788	1366
567	1792	1363
568	1796	1360
569	1810	1366
570	1814	1363
571	1818	1360
572	1822	1358
573	1825	1354
574	1827	1351
575	1830	1347
576	1833	1343
577	1835	1340
578	1838	1336
579	1841	1333
580	1843	1329
581	1847	1327
582	1850	1323
583	1853	1320
584	1855	1316
585	1858	1313
586	1861	1310
587	1864	1306
588	1868	1303
589	1870	1300
590	1873	1296
591	1876	1293
592	1879	1289
593	1881	1285
594	1883	1282
595	1886	1279
596	1889	1275
597	1891	1271
598	1894	1268
599	1897	1264
600	1900	1261
601	1903	1258
602	1905	1254
603	1908	1251
604	1911	1247
605	1913	1244
606	1915	1240
607	1918	1236
608	1921	1233
609	1924	1230
610	1926	1226
611	1929	1223
612	1931	1219
613	1933	1215
614	1937	1212
615	1939	1208
616	1941	1205
617	1944	1201
618	1946	1197
619	1949	1194
620	1952	1191
621	1954	1187
622	1957	1184
623	1959	1180
624	1962	1177
625	1965	1174
626	1968	1170
627	1971	1167
628	1974	1164
629	1976	1160
630	1979	1157
631	1982	1154
632	1984	1150
633	1987	1147
634	1990	1144
635	1993	1140
636	1995	1137
637	1998	1133
638	2001	1130
639	2004	1127
640	2006	1123
641	2008	1120
642	2011	1116
643	2013	1113
644	2016	1109
645	2018	1106
646	2021	1102
647	2023	1099
648	2030	1097
649	2033	1094
650	2035	1091
651	2038	1088
652	2042	1085
653	2044	1081
654	2046	1078
655	2049	1074
656	2052	1071
657	2054	1067
658	2056	1064
659	2059	1060
660	2061	1057
661	2064	1054
662	2066	1050
663	2069	1047
664	2071	1043
665	2074	1040
666	2077	1037
667	2079	1033
668	2082	1030
669	2083	1026
670	2087	1023
671	2090	1020
672	2092	1016
673	2095	1013
674	2097	1009
675	2103	1008
676	2107	1005
677	2110	1002
678	2114	999
679	2117	996
680	2121	993
681	2124	990
682	2127	987
683	2131	984
684	2133	980
685	2135	977
686	2138	974
687	2140	970
688	2142	967
689	2145	964
690	2148	960
691	2150	957
692	2154	954
693	2156	950
694	2158	947
695	2161	944
696	2164	940
697	2166	937
698	2168	933
699	2170	930
700	2173	927
701	2176	924
702	2179	920
703	2182	917
704	2184	914
705	2186	910
706	2189	907
707	2192	904
708	2195	901
709	2197	897
710	2200	894
711	2203	891
712	2206	888
713	2208	884
714	2212	881
715	2215	878
716	2217	875
717	2220	871
718	2222	868
719	2225	865
720	2228	862
721	2231	859
722	2233	855
723	2236	852
724	2240	849
725	2242	846
726	2245	843
727	2247	839
728	2250	836
729	2253	833
730	2255	830
731	2258	826
732	2260	823
733	2263	820
734	2267	817
735	2270	814
736	2272	810
737	2274	807
738	2277	804
739	2279	801
740	2282	797
741	2284	794
742	2287	791
743	2289	787
744	2292	784
745	2294	781
746	2297	778
747	2299	774
748	2302	771
749	2305	768
750	2308	765
751	2310	762
752	2313	758
753	2315	755
754	2318	752
755	2320	749
756	2323	745
757	2325	742
758	2330	739
759	2334	737
760	2337	734
761	2343	731
762	2347	729
763	2351	726
764	2356	723
765	2360	721
766	2365	718
767	2370	715
768	2374	713
769	2378	710
770	2382	707
771	2384	704
772	2386	700
773	2388	697
774	2391	694
775	2394	691
776	2396	687
777	2398	684
778	2401	681
779	2404	678
780	2407	675
781	2409	671
782	2412	668
783	2414	665
784	2416	661
785	2420	658
786	2422	655
787	2424	652
788	2427	649
789	2429	645
790	2432	642
791	2435	639
792	2437	636
793	2440	633
794	2442	629
795	2444	626
796	2446	623
797	2449	620
798	2452	616
799	2454	613
800	2457	610
801	2459	607
802	2462	604
803	2464	600
804	2467	597
805	2470	594
806	2473	591
807	2477	588
808	2479	585
809	2482	582
810	2485	579
811	2487	575
812	2489	572
813	2491	569
814	2496	566
815	2498	563
816	2500	560
817	2503	557
818	2506	553
819	2508	550
820	2511	547
821	2513	544
822	2515	540
823	2517	537
824	2519	534
825	2521	531
826	2524	528
827	2526	524
828	2528	521
829	2530	518
830	2533	515
831	2535	511
832	2537	508
833	2540	505
834	2542	502
835	2544	499
836	2547	496
837	2549	492
838	2552	489
839	2554	486
840	2558	483
841	2560	480
842	2562	477
843	2564	474
844	2567	470
845	2571	468
846	2573	464
847	2575	461
848	2578	458
849	2580	455
850	2582	452
851	2585	449
852	2587	445
853	2589	442
854	2591	439
855	2593	436
856	2595	433
857	2598	430
858	2601	426
859	2604	423
860	2606	420
861	2609	417
862	2612	414
863	2615	411
864	2617	408
865	2620	405
866	2622	402
867	2624	399
868	2626	395
869	2629	392
870	2631	389
871	2634	386
872	2636	383
873	2638	380
874	2640	377
875	2642	374
876	2644	370
877	2646	367
878	2648	364
879	2650	361
880	2652	358
881	2655	355
882	2658	352
883	2660	349
884	2663	346
885	2665	342
886	2668	339
887	2670	336
