iter	Logloss
0	0.6819400058
1	0.6706215293
2	0.6600863197
3	0.6487499951
4	0.6389981917
5	0.6297780115
6	0.6201961915
7	0.6121520683
8	0.6032442082
9	0.5958702927
10	0.5897174642
11	0.5825545366
12	0.5773826474
13	0.5710761225
14	0.5650264647
15	0.5586413248
16	0.5529559657
17	0.5477546214
18	0.5425613596
19	0.5379164998
20	0.5331291878
21	0.5288296516
22	0.5243618485
23	0.5207668627
24	0.5171265735
25	0.5136477882
26	0.5103583981
27	0.5065885441
28	0.5032800714
29	0.5000577444
30	0.4975856563
31	0.4948757854
32	0.4926865347
33	0.4901191426
34	0.4877065213
35	0.485335265
36	0.4832350689
37	0.4808812716
38	0.4788588957
39	0.476831942
40	0.4749104078
41	0.4734596452
42	0.471745468
43	0.4698714556
44	0.4682198513
45	0.4665371646
46	0.464986857
47	0.4633239509
48	0.4618071734
49	0.4603573548
50	0.458974644
51	0.4578750553
52	0.4566506448
53	0.4554467369
54	0.4541435534
55	0.4532087306
56	0.4523367303
57	0.4514452491
58	0.4508082222
59	0.4499252906
60	0.4489502914
61	0.4481471129
62	0.4471538912
63	0.4461817233
64	0.4454477223
65	0.4446293389
66	0.4438906243
67	0.4430979935
68	0.4425419219
69	0.4417589456
70	0.4411982043
71	0.4407144282
72	0.4399601445
73	0.4393456395
74	0.4386879824
75	0.438108512
76	0.4374866062
77	0.4368058865
78	0.4363301663
79	0.4358550551
80	0.4352193054
81	0.4347445819
82	0.4343878551
83	0.4339681327
84	0.4334775596
85	0.4329315234
86	0.4325243714
87	0.4320467249
88	0.4316894034
89	0.431273593
90	0.4307938879
91	0.4303153006
92	0.4299379214
93	0.4295540593
94	0.4291408972
95	0.4288304016
96	0.4283904477
97	0.4281015988
98	0.4278074481
99	0.4273828594
100	0.4271091203
101	0.4268674475
102	0.4264848453
103	0.4262163988
104	0.4259635752
105	0.4256822685
106	0.4254821011
107	0.4253553418
108	0.4250819848
109	0.4248398357
110	0.4245672128
111	0.4242778911
112	0.4239622875
113	0.4237372053
114	0.4235579115
115	0.4232944539
116	0.4230503616
117	0.4228806646
118	0.4227115766
119	0.4224817664
120	0.4222503456
121	0.4220686835
122	0.4218402693
123	0.4216120835
124	0.4213851898
125	0.421172344
126	0.420963033
127	0.4207443652
128	0.4205008946
129	0.42028913
130	0.4200855596
131	0.4199294202
132	0.4197138101
133	0.4194409196
134	0.4192671203
135	0.4191651481
136	0.4189917264
137	0.4187988576
138	0.4186845714
139	0.4185514724
140	0.4183954829
141	0.4182539245
142	0.4180905272
143	0.4179663123
144	0.4178245961
145	0.4177357986
146	0.4175645774
147	0.4174026662
148	0.4173373541
149	0.4172149596
150	0.4170565539
151	0.416922476
152	0.4168167271
153	0.4166869843
154	0.416558414
155	0.416400748
156	0.4163096378
157	0.4161823615
158	0.4160457178
159	0.4159094177
160	0.4157926805
161	0.4156877794
162	0.4156006491
163	0.4154881464
164	0.4153974953
165	0.415264603
166	0.4151146317
167	0.415065368
168	0.4149528684
169	0.4148213862
170	0.4146737088
171	0.4145356805
172	0.4144046971
173	0.4142659244
174	0.4141681925
175	0.4140750796
176	0.4139783532
177	0.4138873102
178	0.4137917391
179	0.4136560974
180	0.4134834911
181	0.4133852609
182	0.4132708961
183	0.413200012
184	0.4130781113
185	0.4129642042
186	0.4129180697
187	0.4127778254
188	0.4127078498
189	0.4126057806
190	0.4125416571
191	0.412440567
192	0.4123392152
193	0.4122948765
194	0.4122134353
195	0.4120587142
196	0.4119226353
197	0.4118033828
198	0.4116978959
199	0.4116090148
200	0.4115335017
201	0.4114915504
202	0.4113907658
203	0.4112827577
204	0.4112184979
205	0.4111158014
206	0.4109991437
207	0.4109213887
208	0.4107934337
209	0.4106903648
210	0.4105843416
211	0.4104390421
212	0.4103325285
213	0.4102368513
214	0.4101636928
215	0.4101019455
216	0.4100640327
217	0.4099574584
218	0.4098511697
219	0.409830994
220	0.4097768384
221	0.4097269547
222	0.4096491477
223	0.4095815165
224	0.4094054265
225	0.4093016544
226	0.4091876213
227	0.4091766178
228	0.4091162453
229	0.409044702
230	0.408960267
231	0.4088854546
232	0.4088277829
233	0.4087768165
234	0.4086578123
235	0.4085648203
236	0.4085091491
237	0.4083897247
238	0.4082995228
239	0.408193121
240	0.4080725207
241	0.4080253017
242	0.4079614445
243	0.4078683182
244	0.4077958876
245	0.4077941473
246	0.4077359279
247	0.4076593944
248	0.4075756133
249	0.407519572
250	0.4074742384
251	0.4073795206
252	0.4073528161
253	0.4072920986
254	0.4071731565
255	0.4070826453
256	0.4070094505
257	0.4069397441
258	0.4068861331
259	0.4068012973
260	0.4067175397
261	0.4066773115
262	0.4066425034
263	0.406530207
264	0.4064059791
265	0.4063603817
266	0.4062619226
267	0.4061662175
268	0.4061351455
269	0.4060613785
270	0.4060049176
271	0.4059029022
272	0.4058114672
273	0.4057114222
274	0.4056461668
275	0.4055871185
276	0.4054783752
277	0.4054113841
278	0.4053065559
279	0.4052366206
280	0.4051743191
281	0.4050987093
282	0.4050446735
283	0.4049380973
284	0.404872146
285	0.4047931678
286	0.4046434406
287	0.4045473407
288	0.4045021622
289	0.4044476587
290	0.4044003676
291	0.4043232766
292	0.4042499111
293	0.40422287
294	0.4041776241
295	0.404029809
296	0.4039433591
297	0.4038466135
298	0.4037961801
299	0.4037004689
300	0.4035596394
301	0.4034944873
302	0.4033925836
303	0.4033457881
304	0.40322518
305	0.4031232221
306	0.4029905713
307	0.4029030002
308	0.4028285223
309	0.4027772749
310	0.402770914
311	0.4026881762
312	0.4025740334
313	0.402497222
314	0.4024136578
315	0.4023346589
316	0.4022628918
317	0.4021639196
318	0.4020641683
319	0.4019810564
320	0.4018631916
321	0.4017746212
322	0.4016956502
323	0.4016197913
324	0.4015492504
325	0.4014960916
326	0.4014426569
327	0.4013806829
328	0.4012568198
329	0.401203199
330	0.4010864629
331	0.4010076887
332	0.4009310147
333	0.4008458395
334	0.4007507631
335	0.4006662745
336	0.4006195286
337	0.400570807
338	0.4004630395
339	0.4003675561
340	0.4002614561
341	0.4002170596
342	0.4001359332
343	0.4000677596
344	0.4000139195
345	0.3999619274
346	0.3999384805
347	0.3998663358
348	0.3998028615
349	0.3997383615
350	0.3996840307
351	0.3996239252
352	0.3995976797
353	0.3995537084
354	0.3994466007
355	0.3993682438
356	0.3992713184
357	0.399200602
358	0.3991321625
359	0.3991317921
360	0.3990548898
361	0.3990241049
362	0.3989395856
363	0.3988301235
364	0.3987152491
365	0.3987013995
366	0.3985917464
367	0.3985435794
368	0.398537608
369	0.3984299683
370	0.3983546304
371	0.3982638139
372	0.3981882825
373	0.3980931621
374	0.3980001951
375	0.3979392206
376	0.3978760434
377	0.3977653839
378	0.3976979906
379	0.3976379487
380	0.3975759695
381	0.3975270606
382	0.3974099247
383	0.3973792381
384	0.3973041368
385	0.3972338984
386	0.3971470952
387	0.3970293004
388	0.3969286186
389	0.3968534106
390	0.3967688984
391	0.3966632917
392	0.396567895
393	0.3965126786
394	0.3964508328
395	0.3963512116
396	0.3962584662
397	0.3961828777
398	0.3961076822
399	0.3960282813
400	0.3959332983
401	0.3958728767
402	0.3958248613
403	0.3957485841
404	0.3956452376
405	0.3955934102
406	0.3955119894
407	0.3953902186
408	0.3953352336
409	0.3952339148
410	0.3950955183
411	0.3949891178
412	0.3949342129
413	0.3948997416
414	0.3948476628
415	0.3947762663
416	0.3946928557
417	0.3946273725
418	0.3945375708
419	0.3944812875
420	0.3943631506
421	0.3943055029
422	0.3942225977
423	0.3941967063
424	0.3941374491
425	0.3940464341
426	0.3939389004
427	0.3938758931
428	0.3938168528
429	0.3937458712
430	0.3936240145
431	0.3935174115
432	0.3934526461
433	0.3933698997
434	0.3933105798
435	0.3932718247
436	0.3931761176
437	0.3930425377
438	0.3929168236
439	0.3928752707
440	0.3927392669
441	0.3926707801
442	0.3926145407
443	0.3925081936
444	0.3923952922
445	0.3923284967
446	0.3922537438
447	0.3921607951
448	0.3921125295
449	0.3920024036
450	0.3919331526
451	0.3918686691
452	0.3917616378
453	0.3917020081
454	0.391628361
455	0.3915332523
456	0.3914784578
457	0.3914066438
458	0.3913431586
459	0.3912614333
