iter	Passed	Remaining
0	150	150773
1	154	77163
2	158	52593
3	161	40337
4	165	32937
5	168	27996
6	183	25993
7	199	24704
8	206	22705
9	284	28152
10	289	26013
11	293	24153
12	295	22467
13	300	21168
14	305	20034
15	309	19026
16	317	18365
17	346	18880
18	364	18802
19	368	18077
20	374	17459
21	378	16808
22	381	16221
23	385	15672
24	388	15165
25	392	14705
26	396	14290
27	399	13881
28	403	13511
29	408	13209
30	411	12862
31	415	12555
32	418	12269
33	423	12021
34	426	11753
35	429	11497
36	432	11266
37	436	11051
38	439	10840
39	443	10635
40	446	10447
41	450	10271
42	454	10104
43	457	9948
44	461	9793
45	464	9633
46	468	9491
47	471	9343
48	474	9218
49	478	9090
50	482	8973
51	486	8863
52	490	8759
53	493	8643
54	497	8547
55	501	8452
56	504	8353
57	508	8254
58	512	8179
59	516	8093
60	520	8011
61	524	7941
62	528	7864
63	532	7791
64	536	7714
65	539	7639
66	546	7604
67	551	7557
68	555	7489
69	559	7434
70	564	7388
71	569	7334
72	573	7277
73	577	7223
74	581	7170
75	585	7116
76	589	7065
77	593	7019
78	597	6964
79	601	6919
80	605	6872
81	609	6822
82	613	6781
83	617	6736
84	622	6697
85	626	6657
86	631	6624
87	635	6587
88	640	6556
89	647	6547
90	655	6544
91	659	6509
92	663	6475
93	668	6441
94	672	6408
95	676	6370
96	679	6328
97	683	6292
98	687	6255
99	691	6221
100	695	6188
101	699	6155
102	703	6122
103	706	6090
104	711	6060
105	715	6034
106	719	6002
107	723	5973
108	727	5944
109	731	5919
110	735	5888
111	738	5856
112	742	5824
113	745	5795
114	749	5766
115	752	5734
116	755	5704
117	759	5679
118	763	5651
119	767	5630
120	771	5602
121	775	5582
122	780	5561
123	783	5535
124	786	5508
125	790	5483
126	794	5460
127	798	5437
128	802	5419
129	806	5395
130	809	5372
131	813	5351
132	817	5331
133	821	5311
134	825	5290
135	829	5271
136	833	5247
137	836	5225
138	839	5200
139	842	5175
140	845	5152
141	849	5133
142	852	5109
143	855	5087
144	859	5068
145	863	5052
146	867	5034
147	871	5017
148	874	4992
149	877	4972
150	881	4955
151	884	4935
152	887	4915
153	891	4896
154	894	4878
155	898	4861
156	901	4842
157	905	4826
158	909	4808
159	912	4790
160	916	4774
161	919	4758
162	923	4741
163	927	4725
164	930	4709
165	934	4697
166	939	4687
167	942	4665
168	945	4647
169	948	4630
170	951	4614
171	954	4596
172	957	4578
173	961	4562
174	964	4546
175	967	4531
176	971	4516
177	974	4500
178	977	4485
179	981	4471
180	984	4456
181	988	4441
182	991	4427
183	995	4414
184	999	4401
185	1003	4389
186	1005	4373
187	1009	4359
188	1012	4345
189	1016	4331
190	1019	4318
191	1023	4306
192	1026	4293
193	1030	4281
194	1034	4269
195	1037	4256
196	1042	4247
197	1045	4234
198	1048	4220
